phoenix2_2014_2: nonfeature: car id_1: nonfeature: leg id_7: current outing: final rank,rank_change_label,40: before pit: average prev. rate of change in rank,140: after pit: Time in pits before outing,166 :after pit:total_tire_age at pit
phoenix2_2014_40_2_33,2,0,18.5,62
phoenix2_2014_40_3_32,1,-0.015625,8.7,28
phoenix2_2014_40_4_27,2,0,19.6,88
phoenix2_2014_83_1_39,2,0,14,0
phoenix2_2014_83_2_36,2,-0.055556,14.8,64
phoenix2_2014_83_3_36,4,-0.05719,15.2,80
phoenix2_2014_83_4_31,2,-0.055556,14.4,88
phoenix2_2014_95_1_31,3,0,14,0
phoenix2_2014_95_2_31,3,0,15.8,62
phoenix2_2014_95_3_35,2,0.015152,19.9,26
phoenix2_2014_95_4_30,2,0,14,88
phoenix2_2014_23_1_40,4,0,14,0
phoenix2_2014_23_2_38,2,0.14286,16,62
phoenix2_2014_23_3_37,2,0.040179,10.7,28
phoenix2_2014_23_4_33,3,0,15.6,88
phoenix2_2014_32_1_42,3,0,14,0
phoenix2_2014_32_2_40,2,0,18.2,62
phoenix2_2014_32_3_38,2,-0.016129,4.4,30
phoenix2_2014_32_4_34,3,0,15,88
phoenix2_2014_18_1_8,4,0,14,0
phoenix2_2014_18_2_9,4,0.095238,6.5,62
phoenix2_2014_18_3_6,2,0.090476,12.4,133
phoenix2_2014_18_4_9,4,0.095238,6,82
phoenix2_2014_18_5_32,5,0.11429,18.5,60
phoenix2_2014_13_1_35,2,0,0,0
phoenix2_2014_66_1_41,3,0,14,0
phoenix2_2014_66_2_40,2,0,26,24
phoenix2_2014_66_3_36,3,0.011364,5.1,16
phoenix2_2014_51_1_30,4,0,14,0
phoenix2_2014_51_2_42,5,0.047619,237.3,2
phoenix2_2014_51_3_41,2,0.02381,16.4,28
phoenix2_2014_51_4_37,3,0,15.1,90
phoenix2_2014_3_1_23,2,0,14,0
phoenix2_2014_3_2_24,4,-0.10526,13.5,62
phoenix2_2014_3_3_26,4,-0.066917,9.6,68
phoenix2_2014_48_1_11,3,0,14,0
phoenix2_2014_48_2_12,4,0,5.7,62
phoenix2_2014_48_3_16,1,0.045455,50.4,54
phoenix2_2014_15_1_17,4,0,14,0
phoenix2_2014_15_2_16,3,0.047619,7.4,62
phoenix2_2014_15_3_19,5,0.038515,20.9,43
phoenix2_2014_98_1_33,4,0,14,0
phoenix2_2014_98_2_32,2,0.052632,17.1,62
phoenix2_2014_98_3_30,4,0.026316,20.5,54
phoenix2_2014_26_1_38,3,0,14,0
phoenix2_2014_26_2_37,2,0,8.6,33
