Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
CANDIES/SWEET CHOCOLATE,3.0,51.48,2.76,0.0
KELLOGG/KELLOGG'S SPL K BLUEBERRY,1.0,26.7,27.0,0.0
BEEF JERKY/CHOPD&FORMED,2.0,9.0,5.42,48.0
QUAKER/SUN COUNTRY GRANOLA W/ ALMONDS,1.0,20.42,4.35,0.0
POPCORN/CARAMEL-COATED/W/PNUTS,2.0,45.36,3.91,0.0
CANDIES/TOOTSIE ROLL/CHOCOLATE-FLAVOR ROLL,3.0,56.32,0.8,2.0
CORN GRITS/YEL/REG & QUICK/UNENR/DRY,1.0,0.64,1.0,0.0
CANDIES/MARS SNACKFOOD US/SKITTLES SOURS ORIGINAL,3.0,73.16,0.01,0.0
PUDDING/LEMON/DRY MIX/REG/PREP W/ SUGAR/EGG YOLK & H2O,3.0,13.51,0.13,49.0
CANDIES/REESE'S BITES,3.0,48.03,0.85,7.0
POTATO CHIPS/RED FAT,2.0,0.22,1.35,0.0
RTE/MALT-O-MEAL/HONEY NUT TOASTY O'S CRL,1.0,38.73,17.07,0.0
CANDIES/MARS SNACK US/STARBURST FRUIT CHEWS/FRT&CREM,3.0,57.98,0.01,0.0
RED SUGAR FRSTD FLAKES CRL,1.0,27.4,15.0,0.0
CANDY ROLLS/YOGURT-COVERED/FRUIT FLAV W/ HI VIT C,2.0,39.15,0.56,0.0
ICE CREAMS/VANILLA/RICH,3.0,20.65,0.34,92.0
grano bar/ GENER MILLS/ NATUR VALLE/ CHEWY TRAIL MIX,2.0,42.86,8.71,0.0
CANDIES/MOUNDS CANDY BAR,3.0,46.19,2.09,2.0
SPL K VANILLA ALMOND,1.0,30.4,27.0,0.0
CHOCOLATEY DELIGHT,1.0,29.9,26.1,0.0
FROSTING/GLAZ/CHC/PREP-FRM-RCIP/W/ BUTR/NFSMI RECIP NO. C-32,3.0,64.3,0.6,18.0
WEETABIX WHL WHEAT CRL,1.0,2.0,5.16,0.0
GENERAL MILLS/CHEERIOS/CHOC,1.0,34.4,16.7,0.0
ICE CREAMS/BREYERS/98% FAT FREE VANILLA,3.0,20.93,0.09,8.0
M&M MARS/KUDOS WHL GRAIN BAR/M&M'S MILK CHOC,2.0,37.81,0.85,4.0
CANDIES/FONDANT/PREPARED-FROM-RECIPE,3.0,88.9,0.01,0.0
GENERAL MILLS/HONEY NUT CHEERIOS,1.0,33.2,16.1,0.0
KELLOGG/SMORZ,1.0,42.7,15.0,0.0
PIE FILLINGS/CHERRY/LO CAL,3.0,9.15,0.33,0.0
