Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
CANDIES/REESE'S NUTRAGEOUS CANDY BAR,3.0,0.112791583166,-0.158531728665,-0.0259285714286
COCOA/DRY PDR/UNSWTND/HERSHEY'S EUROPEAN STYLE COCOA,3.0,-0.290214428858,0.602299781182,-0.0473571428571
PUDDINGS/BANANA/DRY MIX/REG/PREP W/ WHL MILK,3.0,-0.130094188377,-0.184571115974,0.0169285714286
CANDIES/CHOC COVERED/CARAMEL W/NUTS,3.0,0.124114228457,-0.14824726477,-0.0473571428571
MARMALADE/ORANGE,3.0,0.310987975952,-0.182164113786,-0.0473571428571
FORMULATED BAR/SLIM-FAST OPTIMA MEAL BAR/MILK CHOC PNUT,2.0,-0.0397134268537,-0.0764748358862,0.00264285714286
SHREDDED WHEAT/ORIGINAL BIG BISCUIT,1.0,-0.280795591182,-0.120894967177,-0.0473571428571
SYRUPS/MALT,3.0,0.424214428858,-0.164439824945,-0.0473571428571
MALT-O-MEAL/OAT BLENDERS W/ HONEY,1.0,-0.068871743487,0.814553610503,-0.0473571428571
ICE CREAMS/BREYERS/NO SUGAR ADDED/VANILLA FUDGE TWIRL,3.0,-0.235204408818,-0.17756892779,0.0669285714286
TORTILLA CHIPS/LOFAT/UNSALTED,2.0,-0.28169739479,-0.150435448578,-0.0473571428571
HONEY BUNCHES OF OATS W/ VANILLA BUNCHES,1.0,-0.0838016032064,0.446938730853,-0.0473571428571
EGG CUSTARDS/DRY MIX/PREP W/ 2% MILK,3.0,-0.243821643287,-0.178225382932,0.302642857143
MALT-O-MEAL/CHOC/DRY,1.0,-0.123581162325,0.752846827133,-0.0473571428571
CANDIES/HERSHEY'S POT OF GOLD ALMOND BAR,3.0,0.0951563126253,-0.144964989059,0.0455
TOPPINGS/STRAWBERRY,3.0,-0.0158657314629,-0.179319474836,-0.0473571428571
ICE CREAMS/VANILLA/LT/SOFT-SERVE,3.0,-0.10293987976,-0.184133479212,0.0383571428571
CANDIES/SWEET CHOCOLATE,3.0,0.225617234469,-0.125052516411,-0.0473571428571
KELLOGG/KELLOGG'S SPL K BLUEBERRY,1.0,-0.0226793587174,0.405363238512,-0.0473571428571
BEEF JERKY/CHOPD&FORMED,2.0,-0.200034068136,-0.0668468271335,0.2955
QUAKER/SUN COUNTRY GRANOLA W/ ALMONDS,1.0,-0.0856052104208,-0.0902603938731,-0.0473571428571
POPCORN/CARAMEL-COATED/W/PNUTS,2.0,0.164294589178,-0.0998884026258,-0.0473571428571
CANDIES/TOOTSIE ROLL/CHOCOLATE-FLAVOR ROLL,3.0,0.274114228457,-0.167940919037,-0.0330714285714
CORN GRITS/YEL/REG & QUICK/UNENR/DRY,1.0,-0.283801603206,-0.163564551422,-0.0473571428571
CANDIES/MARS SNACKFOOD US/SKITTLES SOURS ORIGINAL,3.0,0.442851703407,-0.185227571116,-0.0473571428571
PUDDING/LEMON/DRY MIX/REG/PREP W/ SUGAR/EGG YOLK & H2O,3.0,-0.154843687375,-0.182601750547,0.302642857143
CANDIES/REESE'S BITES,3.0,0.191048096192,-0.166846827133,0.00264285714286
POTATO CHIPS/RED FAT,2.0,-0.28801002004,-0.155905908096,-0.0473571428571
RTE/MALT-O-MEAL/HONEY NUT TOASTY O'S CRL,1.0,0.0978617234469,0.188076586433,-0.0473571428571
CANDIES/MARS SNACK US/STARBURST FRUIT CHEWS/FRT&CREM,3.0,0.29074749499,-0.185227571116,-0.0473571428571
