Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
KELLOGG'S CINNABON CRL,1.0,0.128931392196,0.206870094365,-0.0726970033296
NUTTY CLUSTERS & ALMONDS,1.0,-0.0695656017918,-0.0183173119323,-0.0726970033296
SHREDDED WHEAT/LIGHTLY FRSTD,1.0,-0.0644553813509,-0.16014639739,-0.0726970033296
FARINA/ENR/ASSORTED BRANDS/DRY,1.0,-0.282291052694,0.737304876973,-0.0726970033296
ICE CREAMS/CHOC/LT,3.0,-0.0403070847578,-0.243204868154,0.455604883463
Sweetener/ syrup/ agave,3.0,0.393761051515,-0.261195872652,-0.0726970033296
CHOCOLATE/DK/45- 59% CACAO SOL,3.0,0.192057644701,-0.0234147632066,0.0782463928968
RTE/QUAKER/KING VITAMAN,1.0,-0.0847960627137,0.605670694065,-0.0726970033296
RTE/QUAKER/MOTHER'S CINN OAT CRUNCH,1.0,-0.0366998703289,-0.15594849634,-0.0726970033296
RTE/KELLOGG/SPL K/FRUIT & YOGURT,1.0,0.0337410114346,0.494726166329,-0.0726970033296
RTE/GENERAL MILLS CINN CHEX,1.0,-0.0263792290463,0.545700679072,-0.0726970033296
RTE/QUAKER/CAP'N CRUNCH,1.0,0.156185901214,0.318414322251,-0.0726970033296
RTE/GENERAL MILLS/MULTI-GRAIN CHEERIOS,1.0,-0.0774814334551,0.578684187318,-0.0726970033296
SWT POTATO CHIPS/UNSALTED,2.0,-0.199525521631,-0.200326307435,-0.0726970033296
ICE CREAMS/BREYERS/ALL NAT LT MINT CHOC CHIP,3.0,-0.033593657904,-0.248302319429,0.210321864595
SUGARS/GRANULATED,3.0,0.712097724861,-0.262395272952,-0.0726970033296
KELLOGG'S KRAVE CHOC CRL,1.0,0.0698131557232,0.170888085369,-0.0538290788013
POTATO CHIPS/FAT FREE/SALTED,2.0,-0.250928327243,-0.156848046565,-0.0726970033296
PRETZELS/HARD/PLN/SALTED,2.0,-0.263553577744,-0.100476232472,-0.0726970033296
FRSTD MINI-WHEATS BITE SIZE STRAWB DEL,1.0,-0.0604473653189,0.620663197813,-0.0726970033296
ICE CREAMS/NO SUGAR ADDED/FRENCH VANILLA,3.0,-0.210747966521,-0.258197371902,0.92730299667
QUAKER/LOFAT 100% NAT GRANOLA W/ RAISINS,1.0,-0.0308882470824,-0.186533203986,-0.0538290788013
PUDDINGS/CHOC FLAVOR/LO CAL/INST/DRY MIX,3.0,-0.280888247082,-0.170641150013,-0.0726970033296
QUAKER/INST OATMEAL/BANANA BREAD/DRY,1.0,0.017408346104,0.0344563012611,-0.0726970033296
BAKING CHOC/UNSWTND/LIQ,3.0,-0.287902275139,-0.139456742217,-0.0726970033296
SYRUP/CANE,3.0,0.445564658729,-0.15594849634,-0.0726970033296
MARS SNACKFOOD US/MILKY WAY MIDNIGHT BAR,3.0,0.291356241896,-0.227912514331,0.115982241953
MARS SNACKFOOD US/TWIX CARAMEL COOKIE BARS,3.0,0.195564658729,-0.239606667255,0.0593784683685
YOGURT/FRZ/CHOC/NON-FAT MILK/W/LO CAL SWTNR,3.0,-0.161549569728,-0.262695123027,0.00277469478357
GELATINS/DRY PDR/UNSWTND,3.0,-0.287902275139,-0.230611165006,-0.0726970033296
M&M MARS/KUDOS WHL GRAIN BAR/M&M'S MILK CHOC,2.0,0.0909554402923,-0.238407266955,0.00277469478357
grano bar/ GENER MILLS/ NATUR VALLE/ CHEWY TRAIL MIX,2.0,0.141556642697,-0.00272510803422,-0.0726970033296
POTATO CHIPS/RED FAT,2.0,-0.285697866321,-0.223414763207,-0.0726970033296
POPCORN/CARAMEL-COATED/W/PNUTS,2.0,0.166606742898,-0.146653144016,-0.0726970033296
