Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
CEREALS/WHL WHEAT HOT NAT CRL/CKD W/ H2O/WO/ SALT,1.0,-0.289492234469,-0.153621991247,-0.0327678571429
CANDIES/MR. GOODBAR CHOC BAR,3.0,0.18285245491,-0.13677297593,0.0386607142857
Snacks/ granola bar/ QUAKER/ DIPPS/ all flavors,2.0,0.0865598697395,-0.141805798687,-0.0327678571429
CANDIES/ROLO CARAMELS IN MILK CHOC,3.0,0.350287324649,-0.157998358862,0.0529464285714
ICE CREAMS/BREYERS/NO SUGAR ADDED/BUTTER PECAN,3.0,-0.231175601202,-0.163031181619,0.0958035714286
RICE CAKES/BROWN RICE/PLN/UNSALTED,2.0,-0.281476202405,-0.134584792123,-0.0327678571429
COCOA/DRY PDR/HI-FAT OR BRKFST/PLN,3.0,-0.274762775551,0.150097921225,-0.0327678571429
CEREALS RTE/KELLOGG'S FRSTD MINI-WHTS TOUCH FRT MDL MXD BER,1.0,-0.111937124248,0.478325492341,-0.0327678571429
CEREALS/CRM OF WHEAT/REG (10 MINUTE)/CKD W/ H2O/W/ SALT,1.0,-0.289993236473,-0.0798801969365,-0.0327678571429
CANDIES/MARS SNACKFOOD US/TWIX CHOC FUDGE COOKIE BARS,3.0,0.240768286573,-0.138523522976,0.0100892857143
CEREALS RTE/NATURE'S PATH/ORGANIC FLAX PLUS FLAKES,1.0,-0.167548346693,-0.0383047045952,-0.0327678571429
CEREALS/QUAKER/CORN GRITS/INST/PLN/DRY,1.0,-0.275163577154,0.68073249453,-0.0327678571429
CEREALS/QUAKER/INST OATMEAL EXPRESS CINN ROLL/DRY,1.0,0.0194256012024,-0.0212368708972,-0.0327678571429
FORM BAR/MARS SNACKFOOD US/COCOAVIA/CHOC BLUEBERRY,2.0,0.044375501002,-0.126050875274,-0.0184821428571
CEREALS RTE/AMARANTH FLAKES,1.0,-0.286085420842,-0.128676695842,-0.0327678571429
SWEETENERS/TABLETOP/FRUCTOSE/DRY/PDR,3.0,0.638563877756,-0.165000547046,-0.0327678571429
CEREALS RTE/POST SELECTS BLUEBERRY MORNING,1.0,0.00229133266533,-0.0949786652079,-0.0327678571429
SWEETENERS/TABLETOP/FRUCTOSE/LIQ,3.0,0.471229208417,-0.164781728665,-0.0327678571429
CANDIES/MARS SNACKFOOD US/MILKY WAY BAR,3.0,0.307802354709,-0.156466630197,0.0315178571429
CEREALS RTE/POST RAISIN BRAN CRL,1.0,0.0503875250501,0.233248905908,-0.0327678571429
CEREALS RTE/GENERAL MILLS/WHEATIES,1.0,-0.137989228457,0.561476477024,-0.0327678571429
CEREALS RTE/GENERAL MILLS/FRANKENBERRY,1.0,-0.0168469438878,0.130404266958,-0.0327678571429
CEREALS RTE/GENERAL MILLS/CINN BURST CHEERIOS,1.0,-0.00873071142285,0.386202954048,-0.0327678571429
CEREALS RTE/QUAKER/MAPLE BROWN SUGAR LIFE CRL,1.0,-0.0407948396794,0.460601203501,-0.0327678571429
CEREALS RTE/QUAKER/CAP'N CRUNCH'S OOPS! ALL BERRIES CRL,1.0,0.152391533066,0.304802516411,-0.0327678571429
CEREALS RTE/KASHI GOOD FRIENDS,1.0,-0.101917084168,-0.0774731947484,-0.0327678571429
CEREALS RTE/GENERAL MILLS/FRUITY CHEERIOS,1.0,0.0323514529058,0.198237964989,-0.0327678571429
CANDIES/TRUFFLES/PREPARED-FROM-RECIPE,3.0,0.0935738977956,-0.128895514223,0.345803571429
CEREALS/QUAKER/WHL WHEAT NAT CRL,1.0,-0.270253757515,-0.0949786652079,-0.0327678571429
FROZEN NOVELTIES/ICE TYPE/LIME,3.0,0.0363594689379,-0.163687636761,-0.0327678571429
TRAIL MIX/REG/W/CHOC CHIPS/SALTED NUTS&SEEDS,2.0,-0.0510152805611,-0.0930092997812,-0.00419642857143
CANDIES/FUDGE/PNUT BUTTER/PREPARED-FROM-RECIPE,3.0,0.444776302605,-0.162374726477,-0.0113392857143
CEREALS/OATS/INST/FORT/W/ RAISINS & SPICE/DRY,1.0,0.0818504509018,0.0391570021882,-0.0327678571429
CEREALS RTE/GENERAL MILLS/CHEERIOS/BANANA NUT,1.0,0.041369488978,0.185108862144,-0.0327678571429
SUGARS/BROWN,3.0,0.681850450902,-0.151652625821,-0.0327678571429
CEREALS RTE/KELLOGG/KELLOGG'S RAISIN BRAN,1.0,0.0233334168337,0.102614332604,-0.0327678571429
FROZEN YOGURTS/FLAVORS OTHER THAN CHOC,3.0,-0.0906946392786,-0.157123085339,0.0600892857143
SNACKS/POTATO CHIPS/FAT-FREE/MADE W/OLESTRA,2.0,-0.290293837675,-0.114672319475,-0.0327678571429
CEREALS RTE/NATURE'S PATH/OPTIMUM SLIM,1.0,-0.108129509018,-0.0597489059081,-0.0327678571429
CANDIES/CRISPY BAR W/ PNUT BUTTER FILLING,3.0,0.113814378758,-0.138742341357,0.00294642857143
FROZ NOVLT/ICE CRM/VAN ICE CRM/LT/NO SUGAR ADDED/CHOC COATD,3.0,-0.204923096192,-0.160842997812,0.0386607142857
JAMS&PRESERVES/APRICOT,3.0,0.144575901804,-0.156466630197,-0.0327678571429
CEREALS RTE/QUAKER/QUAKER CINN OATMEAL SQUARES,1.0,-0.123961172345,0.478763129103,-0.0327678571429
CEREALS RTE/BARBARA'S PUFFINS/ORIGINAL,1.0,-0.104722695391,-0.138085886214,-0.0327678571429
CANDIES/MARS SNACKFOOD US/3 MUSKETEERS BAR,3.0,0.379946643287,-0.152527899344,0.00294642857143
CEREALS RTE/GENERAL MILLS/FIBER ONE/RAISIN BRAN CLUSTERS,1.0,-0.0347828156313,0.0120235229759,-0.0327678571429
COCOA/DRY PDR/HI-FAT OR BRKFST/PROC W/ALKALI,3.0,-0.274963176353,0.150097921225,-0.0327678571429
