Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
CEREALS/WHL WHEAT HOT NAT CRL/CKD W/ H2O/WO/ SALT,1.0,-0.296667334669,-0.121570416667,-0.0277678571429
CANDIES/MR. GOODBAR CHOC BAR,3.0,0.175677354709,-0.108737083333,0.0436607142857
Snacks/ granola bar/ QUAKER/ DIPPS/ all flavors,2.0,0.0793847695391,-0.112570416667,-0.0277678571429
CANDIES/ROLO CARAMELS IN MILK CHOC,3.0,0.343112224449,-0.12490375,0.0579464285714
ICE CREAMS/BREYERS/NO SUGAR ADDED/BUTTER PECAN,3.0,-0.238350701403,-0.128737083333,0.100803571429
RICE CAKES/BROWN RICE/PLN/UNSALTED,2.0,-0.288651302605,-0.107070416667,-0.0277678571429
COCOA/DRY PDR/HI-FAT OR BRKFST/PLN,3.0,-0.281937875752,0.109762916667,-0.0277678571429
CEREALS RTE/KELLOGG'S FRSTD MINI-WHTS TOUCH FRT MDL MXD BER,1.0,-0.119112224449,0.359762916667,-0.0277678571429
CEREALS/CRM OF WHEAT/REG (10 MINUTE)/CKD W/ H2O/W/ SALT,1.0,-0.297168336673,-0.06540375,-0.0277678571429
CANDIES/MARS SNACKFOOD US/TWIX CHOC FUDGE COOKIE BARS,3.0,0.233593186373,-0.110070416667,0.0150892857143
CEREALS RTE/NATURE'S PATH/ORGANIC FLAX PLUS FLAKES,1.0,-0.174723446894,-0.0337370833333,-0.0277678571429
CEREALS/QUAKER/CORN GRITS/INST/PLN/DRY,1.0,-0.282338677355,0.513929583333,-0.0277678571429
CEREALS/QUAKER/INST OATMEAL EXPRESS CINN ROLL/DRY,1.0,0.012250501002,-0.0207370833333,-0.0277678571429
FORM BAR/MARS SNACKFOOD US/COCOAVIA/CHOC BLUEBERRY,2.0,0.0372004008016,-0.100570416667,-0.0134821428571
CEREALS RTE/AMARANTH FLAKES,1.0,-0.293260521042,-0.102570416667,-0.0277678571429
SWEETENERS/TABLETOP/FRUCTOSE/DRY/PDR,3.0,0.631388777555,-0.130237083333,-0.0277678571429
CEREALS RTE/POST SELECTS BLUEBERRY MORNING,1.0,-0.00488376753507,-0.07690375,-0.0277678571429
SWEETENERS/TABLETOP/FRUCTOSE/LIQ,3.0,0.464054108216,-0.130070416667,-0.0277678571429
CANDIES/MARS SNACKFOOD US/MILKY WAY BAR,3.0,0.300627254509,-0.123737083333,0.0365178571429
CEREALS RTE/POST RAISIN BRAN CRL,1.0,0.0432124248497,0.17309625,-0.0277678571429
CEREALS RTE/GENERAL MILLS/WHEATIES,1.0,-0.145164328657,0.42309625,-0.0277678571429
CEREALS RTE/GENERAL MILLS/FRANKENBERRY,1.0,-0.0240220440882,0.0947629166667,-0.0277678571429
CEREALS RTE/GENERAL MILLS/CINN BURST CHEERIOS,1.0,-0.0159058116232,0.28959625,-0.0277678571429
CEREALS RTE/QUAKER/MAPLE BROWN SUGAR LIFE CRL,1.0,-0.0479699398798,0.346262916667,-0.0277678571429
CEREALS RTE/QUAKER/CAP'N CRUNCH'S OOPS! ALL BERRIES CRL,1.0,0.145216432866,0.22759625,-0.0277678571429
CEREALS RTE/KASHI GOOD FRIENDS,1.0,-0.109092184369,-0.0635704166667,-0.0277678571429
CEREALS RTE/GENERAL MILLS/FRUITY CHEERIOS,1.0,0.0251763527054,0.146429583333,-0.0277678571429
CANDIES/TRUFFLES/PREPARED-FROM-RECIPE,3.0,0.0863987975952,-0.102737083333,0.350803571429
CEREALS/QUAKER/WHL WHEAT NAT CRL,1.0,-0.277428857715,-0.07690375,-0.0277678571429
FROZEN NOVELTIES/ICE TYPE/LIME,3.0,0.0291843687375,-0.129237083333,-0.0277678571429
TRAIL MIX/REG/W/CHOC CHIPS/SALTED NUTS&SEEDS,2.0,-0.0581903807615,-0.07540375,0.000803571428571
CANDIES/FUDGE/PNUT BUTTER/PREPARED-FROM-RECIPE,3.0,0.437601202405,-0.128237083333,-0.00633928571429
CEREALS/OATS/INST/FORT/W/ RAISINS & SPICE/DRY,1.0,0.0746753507014,0.0252629166667,-0.0277678571429
CEREALS RTE/GENERAL MILLS/CHEERIOS/BANANA NUT,1.0,0.0341943887776,0.136429583333,-0.0277678571429
SUGARS/BROWN,3.0,0.674675350701,-0.120070416667,-0.0277678571429
CEREALS RTE/KELLOGG/KELLOGG'S RAISIN BRAN,1.0,0.0161583166333,0.07359625,-0.0277678571429
FROZEN YOGURTS/FLAVORS OTHER THAN CHOC,3.0,-0.097869739479,-0.124237083333,0.0650892857143
SNACKS/POTATO CHIPS/FAT-FREE/MADE W/OLESTRA,2.0,-0.297468937876,-0.09190375,-0.0277678571429
CEREALS RTE/NATURE'S PATH/OPTIMUM SLIM,1.0,-0.115304609218,-0.0500704166667,-0.0277678571429
CANDIES/CRISPY BAR W/ PNUT BUTTER FILLING,3.0,0.106639278557,-0.110237083333,0.00794642857143
FROZ NOVLT/ICE CRM/VAN ICE CRM/LT/NO SUGAR ADDED/CHOC COATD,3.0,-0.212098196393,-0.127070416667,0.0436607142857
JAMS&PRESERVES/APRICOT,3.0,0.137400801603,-0.123737083333,-0.0277678571429
CEREALS RTE/QUAKER/QUAKER CINN OATMEAL SQUARES,1.0,-0.131136272545,0.36009625,-0.0277678571429
CEREALS RTE/BARBARA'S PUFFINS/ORIGINAL,1.0,-0.111897795591,-0.109737083333,-0.0277678571429
CANDIES/MARS SNACKFOOD US/3 MUSKETEERS BAR,3.0,0.372771543086,-0.120737083333,0.00794642857143
CEREALS RTE/GENERAL MILLS/FIBER ONE/RAISIN BRAN CLUSTERS,1.0,-0.0419579158317,0.00459625,-0.0277678571429
COCOA/DRY PDR/HI-FAT OR BRKFST/PROC W/ALKALI,3.0,-0.282138276553,0.109762916667,-0.0277678571429
SUGARS/POWDERED,3.0,0.682591182365,-0.13090375,-0.0277678571429
CANDIES/CONFECTIONER'S COATING/YOGURT,3.0,0.327380761523,-0.129570416667,-0.020625
SNACKS/FRITOLAY/SUNCHIPS/MULTIGRAIN/HARVEST CHEDDAR,2.0,-0.226827655311,-0.10840375,-0.0277678571429
ICE CREAMS/VANILLA/LT/NO SUGAR ADDED,3.0,-0.232739478958,-0.128737083333,0.165089285714
CEREALS RTE/MALT-O-MEAL/HONEY GRAHAM SQUARES,1.0,0.0301863727455,0.43159625,-0.0277678571429
CEREALS/WHL WHEAT HOT NAT CRL/DRY,1.0,-0.293260521042,-0.07540375,-0.0277678571429
CEREALS/WHEATENA/CKD W/ H2O/W/ SALT,1.0,-0.294963927856,-0.122570416667,-0.0277678571429
CHEWING GUM,3.0,0.364655310621,-0.13190375,-0.0277678571429
CEREALS RTE/KELLOGG'S/FRUIT HARVEST STRAWBERRY/BLUEBERRY,1.0,0.0382024048096,0.126429583333,-0.0277678571429
CEREALS/QUAKER/INST OATMEAL/CINNAMON-SPICE/DRY,1.0,-0.0856452905812,0.00659625,-0.0277678571429
