Shrt_Desc,Class,Sugar_Tot_.g.,Iron_.mg.,Cholestrl_.mg.
GELATIN DSSRT/DRY MIX/RED CAL/W/ ASPRT,3.0,0.0,0.06,0.0
CEREALS RTE/KELLOGG'S APPL JACKS W/ MARSHMALLOWS,1.0,51.1,16.1,0.0
CEREALS/QUAKER/HOMINY GRITS/WHITE/QUICK/DRY,1.0,1.0,3.52,0.0
CEREALS/CREAM OF WHEAT/INST/DRY,1.0,0.4,28.6,0.0
CEREALS RTE/GENERAL MILLS/WHEAT CHEX,1.0,10.3,30.6,0.0
FROSTINGS/GLAZE/PREPARED-FROM-RECIPE,3.0,80.44,0.03,1.0
SNACKS/POPCORN/HOME-PREPARED/OIL-POPPED/UNSALTED,2.0,0.54,2.78,0.0
FROZEN NOVELTIES/ICE TYPE/POP/W/ LO CAL SWTNR,3.0,1.52,0.67,0.0
CEREALS/CREAM OF RICE/CKD W/ H2O/W/ SALT,1.0,0.04,3.96,0.0
CANDIES/HARD/DIETETIC OR LO CAL (SORBITOL),3.0,93.0,0.0,0.0
FROZEN NOVELTIES/SUGAR FREE/CREAMSICLE POPS,3.0,0.43,0.03,0.0
FRZ NVL/ KLONDIKE/SLIM-A-BEAR FUDG BR/98% FT FR/NO SGR ADDED,3.0,7.1,0.71,7.0
CEREALS RTE/KELLOGG'S/SPL K PROT PLUS,1.0,20.3,25.3,0.0
FRUIT LEATHER/ROLLS,3.0,49.16,1.01,0.0
FROSTINGS/COCONUT-NUT/RTE,3.0,40.0,0.54,0.0
CEREALS RTE/UNCLE SAM CRL,1.0,1.56,4.03,0.0
CEREALS/FARINA/ENR/ASSORTED BRANDS/QUICK/CKD W/ H2O/WO/ SALT,1.0,0.76,5.33,0.0
TORTILLA CHIPS/LOFAT/BKD WO/FAT,2.0,0.67,1.6,0.0
CEREALS RTE/MALT-O-MEAL/TOOTIE FRUITIES,1.0,45.7,15.5,1.0
CANDIES/MARS SNACKFOOD US/SNICKERS BAR,3.0,50.47,0.72,13.0
MILK DSSRT/FRZ/MILK-FAT FREE/CHOC,3.0,37.7,0.04,0.0
CEREALS RTE/GENERAL MILLS/COUNT CHOCULA,1.0,33.09,16.7,0.0
POPCORN/MICROWAVE/LOFAT&NA,2.0,0.54,2.28,0.0
FORMBAR/MARSSNACK/SNICKERS MARATHONPROTPERFBAR/CARMELNUTRUSH,2.0,28.75,10.13,6.0
POTATO CHIPS/BARBECUE-FLAVOR,2.0,5.47,1.36,0.0
CEREALS RTE/QUAKER/HONEY GRAHAM OH!S,1.0,43.23,21.99,0.0
SHERBET/ORANGE,3.0,24.32,0.14,1.0
PIE FILLINGS/APPL/CND,3.0,13.8,0.29,0.0
PUDDINGS/BANANA/DRY MIX/INST/PREP W/ WHL MILK,3.0,17.38,0.05,9.0
CEREALS RTE/KELLOGG'S CINN JACKS,1.0,33.9,16.1,0.0
CEREALS RTE/GENERAL MILLS/CHOC LUCKY CHARMS,1.0,36.5,16.1,0.0
CANDIES/NOUGAT/W/ ALMONDS,3.0,83.33,0.59,0.0
CANDIES/WHATCHAMACALLIT CANDY BAR,3.0,48.86,1.13,12.0
MILK & CRL BAR,2.0,45.97,5.99,6.0
CEREALS RTE/POST/GOLDEN CRISP,1.0,53.6,6.7,0.0
CEREALS RTE/RALSTON TASTEEOS,1.0,4.64,30.0,0.0
CANDIES/FONDANT/PREPARED-FROM-RECIPE,3.0,88.9,0.01,0.0
CEREALS RTE/GENERAL MILLS/HONEY NUT CHEERIOS,1.0,33.2,16.1,0.0
CEREALS RTE/KELLOGG/SMORZ,1.0,42.7,15.0,0.0
PIE FILLINGS/CHERRY/LO CAL,3.0,9.15,0.33,0.0
CEREALS RTE/KASHI GOLEAN CRISP TSTD BERRY CRUMBLE,1.0,20.2,3.3,0.0
CANDIES/YORK BITES,3.0,75.0,0.94,1.0
CEREALS RTE/GENERAL MILLS/BERRY BURST CHEERIOS/TRIPLE BERRY,1.0,27.0,16.7,0.0
CEREALS/QUAKER/QUICK OATS/DRY,1.0,1.42,4.64,0.0
JAMS & PRESERVES/DIETETIC (WITH NA SACCHARIN)/ANY FLAVOR,3.0,37.81,0.4,0.0
CEREALS RTE/GENERAL MILLS/CINN TOAST CRUNCH,1.0,29.7,12.89,0.0
FROZEN NOVL/KLONDIKE/SLIM-A-BEAR/NO SGR ADDED/STICKLESS BAR,3.0,8.64,0.41,8.0
CHOCOLATE/DK/60-69% CACAO SOL,3.0,36.71,6.32,6.0
